Init_time: B7-52-BC-50-13-F2_2021-11-08T13:33:18-03:00.txt
Duration,1008,DeviceMAC,B7:52:BC:50:13:F2
timeSeconds,tempOral,tempNasal,signalPeriodSec,signalFrequencyBpm,dateTime
0.040,30.2599,29.5032,1.7733,33.8346,0.0
0.080,30.2669,29.5085,1.7733,33.8346,0.1
0.120,30.2739,29.5138,1.7733,33.8346,0.1
0.160,30.2809,29.5191,1.7733,33.8346,0.2
0.200,30.3296,29.5448,1.7733,33.8346,0.2
0.240,30.3408,29.5532,1.7733,33.8346,0.2
0.280,30.3521,29.5616,1.7733,33.8346,0.3
0.320,30.3898,29.5798,1.7733,33.8346,0.3
0.360,30.4059,29.5921,1.7733,33.8346,0.4
0.400,30.4227,29.6036,1.7733,33.8346,0.4
0.440,30.4425,29.6127,1.7733,33.8346,0.4
0.480,30.4572,29.6188,1.7733,33.8346,0.5
0.520,30.4677,29.6269,1.7733,33.8346,0.5
0.560,30.4782,29.6350,1.7733,33.8346,0.6
0.600,30.4848,29.6316,1.7733,33.8346,0.6
0.640,30.5036,29.6202,1.7733,33.8346,0.6
0.680,30.5039,29.6138,1.7733,33.8346,0.7
0.720,30.4965,29.6021,1.7733,33.8346,0.7
0.760,30.4932,29.5974,1.7733,33.8346,0.8
0.800,30.4898,29.5928,1.7733,33.8346,0.8
0.840,30.4814,29.5777,1.7733,33.8346,0.8
0.880,30.4487,29.5530,1.7733,33.8346,0.9
0.920,30.4224,29.5370,1.7733,33.8346,0.9
0.960,30.4029,29.5309,1.7733,33.8346,1.0
1.000,30.3703,29.5188,1.7733,33.8346,1.0
1.040,30.3381,29.5070,1.7733,33.8346,1.0
1.080,30.3106,29.4966,1.7733,33.8346,1.1
1.120,30.2942,29.4882,1.7733,33.8346,1.1
1.160,30.2777,29.4798,1.7733,33.8346,1.2
1.200,30.2636,29.4749,1.7733,33.8346,1.2
1.240,30.2495,29.4701,1.7733,33.8346,1.2
1.280,30.1668,29.4320,1.7733,33.8346,1.3
1.320,30.1418,29.4275,1.7733,33.8346,1.3
1.360,30.1207,29.4266,1.7733,33.8346,1.4
1.400,30.0976,29.4203,1.7733,33.8346,1.4
1.440,30.0768,29.4095,1.7733,33.8346,1.4
1.480,30.0622,29.4117,1.7733,33.8346,1.5
1.520,30.0402,29.4064,1.7733,33.8346,1.5
1.560,30.0348,29.4123,1.7733,33.8346,1.6
1.600,30.0317,29.4137,1.7733,33.8346,1.6
1.640,30.0217,29.4131,1.7733,33.8346,1.6
1.680,30.0230,29.4162,1.7733,33.8346,1.7
1.720,30.0216,29.4220,1.7733,33.8346,1.7
1.760,30.0278,29.4271,1.7733,33.8346,1.8
1.800,30.0371,29.4321,1.7733,33.8346,1.8
1.840,30.0499,29.4375,1.7733,33.8346,1.8
1.880,30.0564,29.4407,1.8400,32.6087,1.9
1.920,30.0745,29.4504,1.8400,32.6087,1.9
1.960,30.0992,29.4595,1.8400,32.6087,2.0
2.000,30.1135,29.4669,1.8400,32.6087,2.0
2.040,30.1365,29.4750,1.8400,32.6087,2.0
2.080,30.1560,29.4820,1.8400,32.6087,2.1
2.120,30.1823,29.4944,1.8400,32.6087,2.1
2.160,30.2003,29.4995,1.8400,32.6087,2.2
2.200,30.2259,29.5063,1.8400,32.6087,2.2
2.240,30.2462,29.5124,1.8400,32.6087,2.2
2.280,30.2788,29.5249,1.8400,32.6087,2.3
2.320,30.2908,29.5287,1.8400,32.6087,2.3
2.360,30.3028,29.5325,1.8400,32.6087,2.4
2.400,30.3231,29.5379,1.8400,32.6087,2.4
2.440,30.3735,29.5519,1.8400,32.6087,2.4
2.480,30.3859,29.5575,1.8400,32.6087,2.5
2.520,30.3983,29.5631,1.8400,32.6087,2.5
2.560,30.4084,29.5641,1.8400,32.6087,2.6
2.600,30.4184,29.5651,1.8400,32.6087,2.6
2.640,30.4597,29.5606,1.8400,32.6087,2.6
2.680,30.4624,29.5567,1.8400,32.6087,2.7
2.720,30.4651,29.5529,1.8400,32.6087,2.7
2.760,30.4661,29.5305,1.8400,32.6087,2.8
2.800,30.4653,29.5177,1.8400,32.6087,2.8
2.840,30.4559,29.5085,1.8400,32.6087,2.8
2.880,30.4428,29.4966,1.8400,32.6087,2.9
2.920,30.4203,29.4791,1.8400,32.6087,2.9
2.960,30.4005,29.4754,1.8400,32.6087,3.0
3.000,30.3901,29.4684,1.8400,32.6087,3.0
3.040,30.3796,29.4614,1.8400,32.6087,3.0
3.080,30.3531,29.4513,1.8400,32.6087,3.1
3.120,30.2928,29.4248,1.8400,32.6087,3.1
3.160,30.2616,29.4132,1.8400,32.6087,3.2
3.200,30.2337,29.4050,1.8400,32.6087,3.2
3.240,30.2170,29.3991,1.8400,32.6087,3.2
3.280,30.2002,29.3933,1.8400,32.6087,3.3
3.320,30.1643,29.3814,1.8400,32.6087,3.3
3.360,30.1437,29.3743,1.8400,32.6087,3.4
3.400,30.1231,29.3673,1.8400,32.6087,3.4
3.440,30.1025,29.3602,1.8400,32.6087,3.4
3.480,30.0903,29.3574,1.8400,32.6087,3.5
3.520,30.0782,29.3546,1.8400,32.6087,3.5
3.560,29.9739,29.3231,1.8400,32.6087,3.6
3.600,29.9612,29.3209,1.8400,32.6087,3.6
3.640,29.9447,29.3196,1.8400,32.6087,3.6
3.680,29.9287,29.3144,1.8400,32.6087,3.7
3.720,29.9181,29.3180,1.8400,32.6087,3.7
3.760,29.9162,29.3217,1.8400,32.6087,3.8
3.800,29.9106,29.3205,1.8400,32.6087,3.8
3.840,29.9166,29.3257,1.8400,32.6087,3.8
3.880,29.9182,29.3300,1.8400,32.6087,3.9
3.920,29.9290,29.3347,1.8400,32.6087,3.9
3.960,29.9297,29.3371,1.8400,32.6087,4.0
4.000,29.9305,29.3395,1.8400,32.6087,4.0
4.040,29.9603,29.3548,1.9733,30.4054,4.0
4.080,29.9716,29.3612,1.9733,30.4054,4.1
4.120,29.9960,29.3749,1.9733,30.4054,4.1
4.160,30.0116,29.3818,1.9733,30.4054,4.2
4.200,30.0312,29.3912,1.9733,30.4054,4.2
4.240,30.0555,29.3938,1.9733,30.4054,4.2
4.280,30.0704,29.4006,1.9733,30.4054,4.3
4.320,30.1000,29.4219,1.9733,30.4054,4.3
4.360,30.1240,29.4376,1.9733,30.4054,4.4
4.400,30.1358,29.4421,1.9733,30.4054,4.4
4.440,30.1476,29.4466,1.9733,30.4054,4.4
4.480,30.1960,29.4752,1.9733,30.4054,4.5
4.520,30.2187,29.4834,1.9733,30.4054,4.5
4.560,30.2451,29.4996,1.9733,30.4054,4.6
4.600,30.2627,29.5072,1.9733,30.4054,4.6
4.640,30.2877,29.5142,1.9733,30.4054,4.6
4.680,30.3076,29.5243,1.9733,30.4054,4.7
4.720,30.3364,29.5400,1.9733,30.4054,4.7
4.760,30.3419,29.5426,1.9733,30.4054,4.8
4.800,30.3475,29.5451,1.9733,30.4054,4.8
4.840,30.3669,29.5571,1.9733,30.4054,4.8
4.880,30.3848,29.5669,1.9733,30.4054,4.9
4.920,30.3976,29.5752,1.9733,30.4054,4.9
4.960,30.4239,29.5848,1.9733,30.4054,5.0
5.000,30.4297,29.5880,1.9733,30.4054,5.0
5.040,30.4426,29.5939,1.9733,30.4054,5.0
5.080,30.4507,29.5879,1.9733,30.4054,5.1
5.120,30.4503,29.5866,1.9733,30.4054,5.1
5.160,30.4499,29.5852,1.9733,30.4054,5.2
5.200,30.4495,29.5839,1.9733,30.4054,5.2
5.240,30.4491,29.5825,1.9733,30.4054,5.2
5.280,30.4492,29.5658,1.9733,30.4054,5.3
5.320,30.4171,29.5103,1.9733,30.4054,5.3
5.360,30.4100,29.5001,1.9733,30.4054,5.4
5.400,30.3918,29.4902,1.9733,30.4054,5.4
5.440,30.3822,29.4855,1.9733,30.4054,5.4
5.480,30.3726,29.4809,1.9733,30.4054,5.5
5.520,30.3489,29.4653,1.9733,30.4054,5.5
5.560,30.3273,29.4523,1.9733,30.4054,5.6
5.600,30.2768,29.4302,1.9733,30.4054,5.6
5.640,30.2601,29.4224,1.9733,30.4054,5.6
5.680,30.2435,29.4145,1.9733,30.4054,5.7
5.720,30.1841,29.3907,1.9733,30.4054,5.7
5.760,30.1544,29.3804,1.9733,30.4054,5.8
5.800,30.1251,29.3700,1.9733,30.4054,5.8
5.840,30.0894,29.3624,1.9733,30.4054,5.8
5.880,30.0533,29.3456,1.9733,30.4054,5.9
5.920,30.0299,29.3402,1.9733,30.4054,5.9
5.960,30.0179,29.3343,1.9733,30.4054,6.0
6.000,30.0059,29.3284,1.9733,30.4054,6.0
6.040,29.9763,29.3193,1.9733,30.4054,6.0
6.080,29.9289,29.3092,1.9733,30.4054,6.1
6.120,29.9085,29.3046,1.9733,30.4054,6.1
6.160,29.8948,29.3064,1.9733,30.4054,6.2
6.200,29.8792,29.3070,1.9733,30.4054,6.2
6.240,29.8714,29.3066,1.9733,30.4054,6.2
6.280,29.8635,29.3062,1.9733,30.4054,6.3
6.320,29.8553,29.3082,1.9733,30.4054,6.3
6.360,29.8470,29.3102,1.9733,30.4054,6.4
6.400,29.8301,29.3121,1.9733,30.4054,6.4
6.440,29.8037,29.3238,1.9733,30.4054,6.4
6.480,29.7994,29.3299,1.9733,30.4054,6.5
6.520,29.7964,29.3340,2.2400,26.7857,6.5
6.560,29.7935,29.3381,2.2400,26.7857,6.6
6.600,29.7935,29.3469,2.2400,26.7857,6.6
6.640,29.7890,29.3473,2.2400,26.7857,6.6
6.680,29.7927,29.3557,2.2400,26.7857,6.7
6.720,29.7970,29.3722,2.2400,26.7857,6.7
6.760,29.7979,29.3778,2.2400,26.7857,6.8
6.800,29.7987,29.3833,2.2400,26.7857,6.8
6.840,29.8040,29.3894,2.2400,26.7857,6.8
6.880,29.8093,29.3955,2.2400,26.7857,6.9
6.920,29.8233,29.4110,2.2400,26.7857,6.9
6.960,29.8301,29.4288,2.2400,26.7857,7.0
7.000,29.8327,29.4313,2.2400,26.7857,7.0
7.040,29.8353,29.4339,2.2400,26.7857,7.0
7.080,29.8379,29.4364,2.2400,26.7857,7.1
7.120,29.8430,29.4430,2.2400,26.7857,7.1
7.160,29.8733,29.4663,2.2400,26.7857,7.2
7.200,29.8781,29.4698,2.2400,26.7857,7.2
7.240,29.8850,29.4795,2.2400,26.7857,7.2
7.280,29.8924,29.4772,2.2400,26.7857,7.3
7.320,29.9008,29.4809,2.2400,26.7857,7.3
7.360,29.9012,29.4803,2.2400,26.7857,7.4
7.400,29.9016,29.4796,2.2400,26.7857,7.4
7.440,29.8979,29.4669,2.2400,26.7857,7.4
7.480,29.8943,29.4543,2.2400,26.7857,7.5
7.520,29.8891,29.4501,2.2400,26.7857,7.5
7.560,29.8628,29.4233,2.2400,26.7857,7.6
7.600,29.8535,29.4130,2.2400,26.7857,7.6
7.640,29.8368,29.4002,2.2400,26.7857,7.6
7.680,29.8152,29.3856,2.2400,26.7857,7.7
7.720,29.8007,29.3760,2.2400,26.7857,7.7
7.760,29.7776,29.3645,2.2400,26.7857,7.8
7.800,29.7547,29.3525,2.2400,26.7857,7.8
7.840,29.7336,29.3445,2.2400,26.7857,7.8
7.880,29.7131,29.3351,2.2400,26.7857,7.9
7.920,29.7001,29.3257,2.2400,26.7857,7.9
7.960,29.6872,29.3162,2.2400,26.7857,8.0
8.000,29.6419,29.2943,2.2400,26.7857,8.0
8.040,29.6271,29.2876,2.2400,26.7857,8.0
8.080,29.6035,29.2765,2.2400,26.7857,8.1
8.120,29.5804,29.2657,2.2400,26.7857,8.1
8.160,29.5652,29.2607,2.2400,26.7857,8.2
8.200,29.5568,29.2592,2.2400,26.7857,8.2
8.240,29.5483,29.2577,2.2400,26.7857,8.2
8.280,29.5347,29.2527,2.2400,26.7857,8.3
8.320,29.5222,29.2485,2.2400,26.7857,8.3
8.360,29.5098,29.2443,2.2400,26.7857,8.4
8.400,29.5071,29.2462,2.2400,26.7857,8.4
8.440,29.5044,29.2480,2.2400,26.7857,8.4
8.480,29.4992,29.2532,2.2400,26.7857,8.5
8.520,29.5010,29.2596,2.2400,26.7857,8.5
8.560,29.5024,29.2598,2.2400,26.7857,8.6
8.600,29.5099,29.2690,2.2400,26.7857,8.6
8.640,29.5172,29.2755,2.2533,26.6272,8.6
8.680,29.5298,29.2853,2.2533,26.6272,8.7
8.720,29.5391,29.2905,2.2533,26.6272,8.7
8.760,29.5454,29.2984,2.2533,26.6272,8.8
8.800,29.5557,29.3084,2.2533,26.6272,8.8
8.840,29.5777,29.3230,2.2533,26.6272,8.8
8.880,29.5962,29.3346,2.2533,26.6272,8.9
8.920,29.6118,29.3428,2.2533,26.6272,8.9
8.960,29.6281,29.3574,2.2533,26.6272,9.0
9.000,29.6505,29.3662,2.2533,26.6272,9.0
9.040,29.6678,29.3775,2.2533,26.6272,9.0
9.080,29.6889,29.3894,2.2533,26.6272,9.1
9.120,29.7050,29.3974,2.2533,26.6272,9.1
9.160,29.7302,29.4116,2.2533,26.6272,9.2
9.200,29.7481,29.4213,2.2533,26.6272,9.2
9.240,29.7641,29.4262,2.2533,26.6272,9.2
9.280,29.7875,29.4411,2.2533,26.6272,9.3
9.320,29.8006,29.4397,2.2533,26.6272,9.3
9.360,29.8082,29.4456,2.2533,26.6272,9.4
9.400,29.8157,29.4516,2.2533,26.6272,9.4
9.440,29.8233,29.4576,2.2533,26.6272,9.4
9.480,29.8807,29.4819,2.2533,26.6272,9.5
9.520,29.9018,29.4921,2.2533,26.6272,9.5
9.560,29.9090,29.4899,2.2533,26.6272,9.6
9.600,29.9161,29.4877,2.2533,26.6272,9.6
9.640,29.9279,29.4829,2.2533,26.6272,9.6
9.680,29.9398,29.4781,2.2533,26.6272,9.7
9.720,29.9405,29.4708,2.2533,26.6272,9.7
9.760,29.9363,29.4439,2.2533,26.6272,9.8
9.800,29.9220,29.4323,2.2533,26.6272,9.8
9.840,29.9028,29.4143,2.2533,26.6272,9.8
9.880,29.8959,29.4088,2.2533,26.6272,9.9
9.920,29.8891,29.4033,2.2533,26.6272,9.9
9.960,29.8564,29.3882,2.2533,26.6272,10.0
10.000,29.8020,29.3589,2.2533,26.6272,10.0
10.040,29.7668,29.3437,2.2533,26.6272,10.0
10.080,29.7353,29.3296,2.2533,26.6272,10.1
